policy_id,customer_id,policy_type,premium,start_date,end_date,agent_id,coverage_limit,deductible
P001,C001,Auto,1200.00,2023-01-01,2024-01-01,A001,50000,500
P002,C002,Home,2000.00,2023-02-15,2024-02-15,A002,250000,1000
P003,C003,Life,1500.00,2023-03-10,2024-03-10,A001,100000,0
P004,C004,Auto,1100.00,2023-04-01,2024-04-01,A003,45000,750
P005,C005,Business,3000.00,2023-05-20,2024-05-20,A002,500000,2500
P006,C001,Home,1800.00,2023-06-15,2024-06-15,A001,200000,1500
P007,C006,Auto,1300.00,2023-07-01,2024-07-01,A003,55000,500
P008,C007,Life,2500.00,2023-08-10,2024-08-10,A002,200000,0
P009,C008,Business,3500.00,2023-09-01,2024-09-01,A001,750000,5000
P010,C009,Auto,1000.00,2023-10-15,2024-10-15,A003,40000,1000
